DB ID,Groups,Measure Title,Detail Measure - CTP,Short Definition - CTP,Long Definition - CTP,Operation Description - CTP,Exclusions - CTP,Availability - CTP,Sources - CTP,Footnotes - CTP,Format - CTP,Calculation - CTP,Variable - CTP,Unknown Expression 1 - CTP,Unknown Expression 2 - CTP,Allowable Tags - CTP,Expression 1 - CTP,Expression 2 - CTP,Filter Classes - CTP,Charging Stage - CTP,Date Stage - CTP,Felony / Misdemeanor - CTP,Include Standard Severities - CTP,Units - CTP,Numerator Description - CTP,Denominator Description - CTP,Related Measures - CTP
126,"Performance, Companion: 26",Daily Cost of a Jail Bed,,,,,,"(1,2,3)CA113: AVAILABLE",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
501,"Contextual, Population: 1",Population,,,,,,,,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
504,"Contextual, Population: 2",Urban Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
505,"Contextual, Population: 3",Rural Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
507,"Contextual, Poverty Indicators: 4",Single Female-Headed Households with Children,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
508,"Contextual, Poverty Indicators: 2",Unemployment Rate,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
510,"Contextual, Other: 4",Non-Citizens,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
511,"Contextual, Poverty Indicators: 5",High School Graduates,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
512,"Contextual, Poverty Indicators: 3",Below Poverty Line,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
514,"Contextual, Population: 4",White Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
516,"Contextual, Population: 5",African American Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
518,"Contextual, Population: 7",Native American/Alaskan Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
520,"Contextual, Population: 8",Asian or Pacific Islander Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
522,"Contextual, Population: 9",Other Race Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
524,"Contextual, Population: 6",Hispanic or Latino Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
525,"Contextual, Poverty Indicators: 1",Median Household Income,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
526,"Contextual, Other: 7",Average Commute Minutes,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
527,"Contextual, Criminal Justice Resources: 1",Number of Criminal Court Judges,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
528,"Contextual, Crime: 1",Property Crime Rate,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
529,"Contextual, Crime: 5",Clearance Rate for Property Offenses,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
530,"Contextual, Crime: 2",Violent Crime Rate,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
531,"Contextual, Crime: 6",Clearance Rate for Violent Offenses,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
532,"Contextual, Criminal Justice Resources: 7","Police Officers per 100,000 Residents",,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
533,"Contextual, Criminal Justice Resources: 4",Law Enforcement Agencies Reporting to UCR,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
534,"Contextual, Criminal Justice Resources: 5",Total Number of Law Enforcement Agencies,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
537,"Contextual, Criminal Justice Resources: 2",Number of Full-Time Prosecutors,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
548,"Contextual, Criminal Justice Resources: 2",Number of Part-Time Prosecutors,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
538,"Contextual, Criminal Justice Resources: 3",Number of Full-Time Public Defenders,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
549,"Contextual, Criminal Justice Resources: 3",Number of Part-Time Public Defenders,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
539,"Contextual, Criminal Justice Resources: 6",Number of Full-Time Sworn Law Enforcement Officers,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
540,"Contextual, Crime: 4",Arrest Rate for Violent Offenses,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
541,"Contextual, Crime: 3",Arrest Rate for Property Offenses,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
543,"Contextual, Other: 6",Residential Mobility,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
544,"Contextual, Population: 10",Young Males Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
545,"Contextual, Population: 12",Largest Municipality,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
546,"Contextual, Population: 11",Largest Municipality Population,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
560,"Contextual, Other: 0",Total Problem Solving Courts,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
561,"Contextual, Other: 0",Drug Courts,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
562,"Contextual, Other: 0",Mental Health Courts,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
563,"Contextual, Other: 0",Domestic Violence Courts,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
564,"Contextual, Other: 0",Hybrid DWI and Drug Courts,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
565,"Contextual, Other: 0",Other Problem Solving Courts,,,,,,"(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",,,,,,,,
601,"Case Flow, Cases Received: 1
Case Flow, Charging Decision: 1
Case Flow Detail, Cases Received: 1",Cases Received,,,This measure shows the number of cases the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Sum of all cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,CaseRcvd,,,"OK, MISSINGNESS, CALCULATION",,Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Case, Cases",,Cases Received,
610,"Case Flow, Cases Received: 9
Case Flow, Charging Decision: 4",Misdemeanors Received,611,Misdemeanors Received,,"Sum of all misdemeanors received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,,,,
611,"Case Flow Detail, Cases Received: 9",Percentage of Misdemeanors Received,,,Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows the percentage of misdemeanors the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of misdemeanors received divided by the total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND (TopRfrrdChrgFelMisd=0 OR TopRfrrdChrgFelMisd=1),"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanors Received,Cases Received,
626,"Case Flow, Cases Received: 17
Case Flow, Charging Decision: 7",Felonies Received ,627,Felonies Received,,"Sum of all felonies received in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Felony,,"Felony, Felonies",,,
627,"Case Flow Detail, Cases Received: 17",Percentage of Felonies Received ,,,Felonies are serious offenses punishable by prison or a maximum of death. This measure shows the percentage of felonies the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of felonies received divided by the total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND (TopRfrrdChrgFelMisd=0 OR TopRfrrdChrgFelMisd=1),"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Felony,,"Felony, Felonies",Felonies Received,Cases Received,
603,"Case Flow, Cases Received: 2",Violent Cases Received ,792,Violent,,"Number of violent cases received divided by total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgOffnsType,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgOffnsType=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Violent Case, Violent Cases",,,
792,"Case Flow Detail, Cases Received: 2",Percentage of Violent Cases Received ,,,Violent cases are those in which the alleged perpetrator used or threatened to use force against the victim. This measure shows data on the percentage of violent cases the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of violent cases received divided by total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgOffnsType,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999)  AND TopRfrrdChrgOffnsType=1,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) ,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Violent Case, Violent Cases",Violent Cases Received,Cases Received,
612,"Case Flow, Cases Received: 10",Violent Misdemeanors Received ,619,Violent,,"Sum of all violent misdemeanors received in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0 AND TopRfrrdChrgOffnsType=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,"Violent Misdemeanor, Violent Misdemeanors",,,
619,"Case Flow Detail, Cases Received: 10",Percentage of Violent Misdemeanors Received ,,,Violent misdemeanors are low-level offenses in which the perpetrator allegedly used or threatened to use force against the victim. This measure shows data on the percentage of violent misdemeanors the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of violent misdemeanors received divided by the total number of misdemeanors received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0 AND TopRfrrdChrgOffnsType=1,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,"Violent Misdemeanor, Violent Misdemeanors",Violent Misdemeanors Received,Misdemeanors Received,
628,"Case Flow, Cases Received: 18",Violent Felonies Received ,635,Violent,,"Sum of all violent felonies received in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1 AND TopRfrrdChrgOffnsType=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Felony,,"Violent Felony, Violent Felonies",,,
635,"Case Flow Detail, Cases Received: 18",Percentage of Violent Felonies Received ,,,Violent felonies are serious offenses in which the perpetrator allegedly used or threatened to use force against the victim. This measure shows data on the percentage of violent felonies the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of violent felonies received divided by the total number of felonies received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1 AND TopRfrrdChrgOffnsType=1,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Felony,,"Violent Felony, Violent Felonies",Violent Felonies Received,Felonies Received,
604,"Case Flow, Cases Received: 3",Property Cases Received ,793,Property,,"Number of property cases received divided by total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgOffnsType,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgOffnsType=2,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Property Case, Property Cases",,,
793,"Case Flow Detail, Cases Received: 3",Percentage of Property Cases Received ,,,Property cases are those in which the victim's property was allegedly stolen or destroyed without the use or threat to use force against the victim. This measure shows data on the percentage of property cases the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of property cases received divided by total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgOffnsType,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999)  AND TopRfrrdChrgOffnsType=2,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) ,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Property Case, Property Cases",Property Cases Received,Cases Received,
613,"Case Flow, Cases Received: 11",Property Misdemeanors Received ,620,Property,,"Sum of all property misdemeanors received in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0 AND TopRfrrdChrgOffnsType=2,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,"Property Misdemeanor, Property Misdemeanors",,,
620,"Case Flow Detail, Cases Received: 11",Percentage of Property Misdemeanors Received ,,,Property misdemeanors are low-level offenses in which the victim's property was allegedly stolen or destroyed without the use or threat to use force against the victim. This measure shows data on the percentage of property misdemeanors the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of property misdemeanors received divided by the total number of misdemeanors received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0 AND TopRfrrdChrgOffnsType=2,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,"Property Misdemeanor, Property Misdemeanors",Property Misdemeanors Received,Misdemeanors Received,
629,"Case Flow, Cases Received: 19",Property Felonies Received ,636,Property,,"Sum of all property felonies received in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1 AND TopRfrrdChrgOffnsType=2,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Felony,,"Property Felony, Property Felonies",,,
636,"Case Flow Detail, Cases Received: 19",Percentage of Property Felonies Received ,,,Property felonies are serious offenses in which the victim's property was allegedly stolen or destroyed without the use or threat to use force against the victim. This measure shows data on the percentage of property felonies the prosecutor's office received from law enforcement or directly from a citizen's complaint.,"Number of property felonies received divided by the total number of felonies received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgFelMisd,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1 AND TopRfrrdChrgOffnsType=2,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Felony,,"Property Felony, Property Felonies",Property Felonies Received,Felonies Received,
605,"Case Flow, Cases Received: 4",Drug Cases Received ,794,Drug,,"Number of drug cases received divided by total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,TopRfrrdChrgOffnsType,,,"OK, MISSINGNESS, CALCULATION",,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) AND TopRfrrdChrgOffnsType=3,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Drug Case, Drug Cases",,,
794,"Case Flow Detail, Cases Received: 4",Percentage of Drug Cases Received ,,,"Drug cases are those involving the alleged possession, use, distribution or manufacture of controlled substances. This measure shows data on the percentage of drug cases the prosecutor's office received from law enforcement or directly from a citizen's complaint.","Number of drug cases received divided by total number of cases received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,TopRfrrdChrgOffnsType,,,"OK, MISSINGNESS, CALCULATION",(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999)  AND TopRfrrdChrgOffnsType=3,(Prosecuted=0 OR Prosecuted=0.5 OR Prosecuted=1 OR Prosecuted=-888 OR Prosecuted=-999) ,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Drug Case, Drug Cases",Drug Cases Received,Cases Received,
